"n","k","s","time","iters"
4000,6,0,41.1667280197144,12566
4000,6,1,40.1935477256775,12252
4000,6,2,40.6612665653229,12415
4000,6,3,40.7275414466858,12424
4000,6,4,40.2033195495605,12267
5000,6,0,78.538777589798,15677
5000,6,1,77.9621500968933,15560
5000,6,2,78.738648891449,15694
5000,6,3,77.7575399875641,15506
5000,6,4,76.9594016075134,15344
1000,7,0,1.52906632423401,3109
1000,7,1,1.56615519523621,3179
1000,7,2,1.61554670333862,3298
1000,7,3,1.52277326583862,3092
1000,7,4,1.4919605255127,3016
2000,7,0,7.96962285041809,6295
2000,7,1,7.84729170799255,6191
2000,7,2,7.89164686203003,6250
2000,7,3,7.82296228408814,6177
2000,7,4,7.87480711936951,6215
3000,7,0,22.9703068733215,9344
3000,7,1,22.933087348938,9285
3000,7,2,22.6797931194305,9201
3000,7,3,22.8245997428894,9249
3000,7,4,23.1649103164673,9384
4000,7,0,50.8412144184113,12566
4000,7,1,49.720335483551,12252
4000,7,2,51.1019604206085,12415
4000,7,3,50.4618344306946,12424
4000,7,4,49.7795960903168,12267
5000,7,0,95.7652292251587,15677
5000,7,1,95.9512207508087,15560
5000,7,2,96.1649804115296,15694
5000,7,3,95.3296930789947,15506
5000,7,4,94.1070597171784,15344
1000,8,0,1.54100179672241,3109
1000,8,1,1.59473919868469,3179
1000,8,2,1.63228106498718,3298
1000,8,3,1.54783248901367,3092
1000,8,4,1.50619888305664,3016
2000,8,0,7.806725025177,6295
2000,8,1,7.69355368614197,6191
2000,8,2,7.73266935348511,6250
2000,8,3,7.63662457466126,6177
2000,8,4,7.71154451370239,6215
3000,8,0,21.9035167694092,9344
3000,8,1,21.9392781257629,9285
3000,8,2,21.6186261177063,9201
3000,8,3,21.8021013736725,9249
3000,8,4,22.0262558460236,9384
4000,8,0,82.6417918205261,12566
4000,8,1,47.2813456058502,12252
4000,8,2,47.6035423278809,12415
4000,8,3,107.761224508286,12424
4000,8,4,47.2373197078705,12267
5000,8,0,90.8336141109467,15677
5000,8,1,90.2385568618774,15560
5000,8,2,91.3134801387787,15694
5000,8,3,90.4551584720612,15506
5000,8,4,89.4629044532776,15344
1000,9,0,1.64085698127747,3109
1000,9,1,1.67747092247009,3179
1000,9,2,1.73072624206543,3298
1000,9,3,1.63904571533203,3092
1000,9,4,1.59907531738281,3016
2000,9,0,8.1810929775238,6295
2000,9,1,8.02703166007996,6191
2000,9,2,8.12210988998413,6250
2000,9,3,7.98197674751282,6177
2000,9,4,8.12207937240601,6215
3000,9,0,22.3394732475281,9344
3000,9,1,22.3081667423248,9285
3000,9,2,22.0135674476624,9201
3000,9,3,22.2795181274414,9249
3000,9,4,22.423832654953,9384
4000,9,0,48.9215326309204,12566
4000,9,1,47.9339170455933,12252
4000,9,2,48.2949838638306,12415
4000,9,3,85.947411775589,12424
4000,9,4,47.7812471389771,12267
5000,9,0,89.9702119827271,15677
5000,9,1,89.4485578536987,15560
5000,9,2,89.7101216316223,15694
5000,9,3,89.4416687488556,15506
5000,9,4,88.0060369968414,15344
1000,10,0,1.76491665840149,3109
1000,10,1,1.806156873703,3179
1000,10,2,1.87830209732056,3298
1000,10,3,1.76635265350342,3092
1000,10,4,1.7244143486023,3016
2000,10,0,8.53003764152527,6295
2000,10,1,8.35009980201721,6191
2000,10,2,8.45531272888184,6250
2000,10,3,8.32731223106384,6177
2000,10,4,8.41406583786011,6215
3000,10,0,23.5559592247009,9344
3000,10,1,23.5894830226898,9285
3000,10,2,23.2392830848694,9201
3000,10,3,23.4868192672729,9249
3000,10,4,23.7481892108917,9384
4000,10,0,51.1028797626495,12566
4000,10,1,49.8979930877686,12252
4000,10,2,50.4686760902405,12415
4000,10,3,50.5289163589478,12424
4000,10,4,91.6989431381226,12267
5000,10,0,93.8813970088959,15677
5000,10,1,93.3348026275635,15560
5000,10,2,94.053610086441,15694
5000,10,3,100.805614709854,15506
5000,10,4,92.269656419754,15344
